longitude,latitude,elevation,max_temperature,min_temperature,precipitation,wind,relative_humidity
-1.8575777,-3.1953328,-2.711969,-1.6717058,-0.64056635,-3.4672115,-2.993894,-2.333434
-1.8575777,-3.1953328,-2.7152674,-1.6838152,-0.63434565,-3.6125176,-2.993894,-2.3382964
-1.8575777,-3.1953328,-2.71929,-1.6657041,-0.592183,-3.6125176,-2.993894,-2.442183
-1.8575777,-3.1953328,-2.6976106,-1.6486429,-0.5019825,-3.6125176,-1.476137,-2.5288029
-1.8575777,-3.1953328,-2.6775615,-1.6277007,-0.60877156,-3.6125176,-1.6897911,-2.3961105
-1.8575777,-3.1953328,-2.6614256,-1.6110107,-0.59287417,-3.6125176,-0.789649,-2.43698
-1.8575777,-3.1953328,-2.661178,-1.6122513,-0.6146467,-3.6125176,-0.017017722,-2.4976888
-1.8575777,-3.1953328,-2.686624,-1.6178181,-0.59149176,-3.6125176,0.014592678,-2.4936378
-1.8575777,-3.1953328,-2.6776717,-1.6094731,-0.6225954,-3.6125176,-1.0492643,-2.4650676
-1.8575777,-3.1953328,-2.671065,-1.6094625,-0.57110167,-3.6125176,-1.3894176,-2.4362712
-1.8575777,-3.1953328,-2.6589148,-1.6024959,-0.5690281,-3.6125176,-0.9118635,-2.429815
-1.8575777,-3.1953328,-2.6595473,-1.6151037,-0.6101539,-3.6125176,-2.730568,-2.4460163
-1.8575777,-3.1953328,-2.6446667,-1.5927724,-0.62847054,-3.6125176,-2.5571744,-2.4087436
-1.8575777,-3.1953328,-2.64189,-1.606451,-0.6201762,-3.6125176,-1.0989585,-2.3861477
-1.8575777,-3.1953328,-2.599777,-1.60327,-0.62950724,-3.6125176,-2.993894,-2.3161325
-1.8575777,-3.1953328,-2.6090407,-1.5804722,-0.6277793,-3.6125176,-2.993894,-2.3857846
-1.8575777,-3.1953328,-2.5763836,-1.5774078,-0.64056635,-3.6125176,-2.993894,-2.287079
-1.8575777,-3.1953328,-2.5931978,-1.5566882,-0.57991433,-3.6125176,-2.993894,-2.479936
-1.8575777,-3.1953328,-2.5616863,-1.5675994,-0.64056635,-3.6125176,-2.993894,-2.3469934
-1.8575777,-3.1953328,-2.5735524,-1.5712471,-0.64056635,-3.6125176,-2.993894,-2.3463786
-1.8575777,-3.1953328,-2.6012888,-1.5605798,-0.64056635,-3.6125176,-2.993894,-2.304666
-1.8575777,-3.1953328,-2.6120737,-1.5738873,-0.64056635,-3.6125176,-2.993894,-2.3444667
-1.8575777,-3.1953328,-2.6360073,-1.5764004,-0.5743848,-2.7845428,-2.993894,-2.3613436
-1.8575777,-3.1953328,-2.6500452,-1.5875978,-0.5935653,-3.6125176,-2.993894,-2.499249
-1.8575777,-3.1953328,-2.6085093,-1.5727315,-0.64022076,-2.518989,-2.993894,-2.2885695
-1.8575777,-3.1953328,-2.6115606,-1.5950733,-0.6395295,-3.6125176,-2.993894,-2.3769333
-1.8575777,-3.1953328,-2.637831,-1.5886052,-0.6301984,-3.6125176,-2.993894,-2.5424402
-1.8575777,-3.1953328,-2.6517587,-1.5682355,-0.49731702,-3.6125176,0.7289115,-2.5731158
-1.8575777,-3.1953328,-2.6508057,-1.5690839,-0.2856398,-3.6125176,0.7682324,-2.5966465
-1.8575777,-3.1953328,-2.624563,-1.5682673,-0.6196579,-3.6125176,-2.993894,-2.4326584
